UCCw_C6XPAsQGyCqZNgHIgHw,1700,2021-10-13T15:00:22+00:00,2031.0,197.83333333333334,32.833333333333336,4.4 days,BE!!!!!,instagram.com/caronolaa,Lifestyle_(sociology);Food;Health;
UCq3zPFEl30L6N1vIeFgV1ow,36,2021-10-13T14:34:02+00:00,73.16666666666667!!!!!,0.5,0.0,0.2 days,BR!!!!!,NOT AVAILABLE,Food;Lifestyle_(sociology);
UCHxXI50KkwXXvzoExuImQjw,NOT AVAILABLE,2021-10-13T14:28:01+00:00,604.6666666666666,20.666666666666668,3.3333333333333335,2.6 days,IN!!!!!,NOT AVAILABLE,Food;Lifestyle_(sociology);
UCIGlyF9oJ2lmrsIirCZvhdQ,NOT AVAILABLE,2021-10-13T14:20:38+00:00,356.3333333333333,47.666666666666664,64.83333333333333,18.6 days,GB!!!!!,NOT AVAILABLE,Food;Lifestyle_(sociology);
UCECWMxo3sPpJt7TbepyBuOg,2400,2021-10-13T14:02:01+00:00,4472.833333333333,73.33333333333333,18.833333333333332,7.6 days,GB!!!!!,instagram.com/doitplainchannel,Food;Lifestyle_(sociology);
UCYwPPJoe3jfpHvgJVc3qsEw,15400,2021-10-13T14:00:17+00:00,11061.666666666666,749.8333333333334,113.33333333333333,7.0 days,FR!!!!!,instagram.com/fannyengels,Food;Physical_fitness;Lifestyle_(sociology);
UC1hEszq2UdM1IFtqZqwcibw,1230000,2021-10-13T13:13:00+00:00,61603.333333333336,1446.3333333333333,113.33333333333333,1.2 days,IN!!!!!,,Lifestyle_(sociology);Food;
UCbRO2CbeVVaad5PQRfh0e6A,450000,2021-10-14T11:05:23+00:00,390.0,84.5,-1.0,0.0 days,PH!!!!!,NOT AVAILABLE,Society;
UC5cdO1UKWYO_k0evsXohIIA,81600,2021-10-13T13:03:03+00:00,1508.5,77.16666666666667,12.5,3.2 days,CA!!!!!,NOT AVAILABLE,Lifestyle_(sociology);
UCfLzaxHAeEuo--afJ1YclEw,0!!!!!,2021-10-13T13:02:48+00:00,NOT ENOUGH RESOURCE,NOT ENOUGH RESOURCE,NOT ENOUGH RESOURCE,NOT ENOUGH RESOURCE,NOT AVAILABLE,instagram.com/peapood,NOT AVAILABLE
UCRj59QaB-3n2r9ZLyyVDN3A,2610,2021-10-13T12:23:44+00:00,268.3333333333333,41.166666666666664,6.0,3.4 days,NP!!!!!,NOT AVAILABLE,Knowledge;
UC8Sfbtxgd5obcUB0vYRwczQ,NOT AVAILABLE,2021-10-13T11:34:11+00:00,113.16666666666667!!!!!,1.8333333333333333,0.0,0.0 days,NOT AVAILABLE,NOT AVAILABLE,Video_game_culture;Puzzle_video_game;
